seed,split,sample_idx,controller_step_expected,chosen_step,oracle_step,required_hops,oracle_depth
3,val,0,5.0406575202941895,5.0,5.0,5,4
3,val,1,7.531562805175781,8.0,16.0,9,2
3,val,2,5.000851154327393,5.0,4.0,5,4
3,val,3,7.1032328605651855,7.0,16.0,9,8
3,val,4,5.010045051574707,5.0,4.0,7,6
3,val,5,7.117936611175537,7.0,16.0,9,8
3,val,6,5.0065202713012695,5.0,5.0,5,4
3,val,7,7.662342071533203,8.0,16.0,9,8
3,val,8,6.010633945465088,6.0,5.0,7,2
3,val,9,8.817357063293457,9.0,4.0,9,8
3,val,10,9.113526344299316,9.0,7.0,9,8
3,val,11,5.887486457824707,6.0,5.0,7,6
3,val,12,7.012162208557129,7.0,10.0,9,8
3,val,13,5.00145149230957,5.0,4.0,5,4
3,val,14,5.996811866760254,6.0,6.0,7,6
3,val,15,5.158693313598633,5.0,5.0,7,6
3,val,16,5.805702209472656,6.0,5.0,7,2
3,val,17,8.347639083862305,8.0,3.0,9,2
3,val,18,5.022247314453125,5.0,5.0,5,4
3,val,19,5.111991882324219,5.0,5.0,7,2
3,val,20,7.705698490142822,8.0,16.0,9,8
3,val,21,5.00942850112915,5.0,4.0,5,4
3,val,22,5.630925178527832,6.0,5.0,7,2
3,val,23,5.00236701965332,5.0,4.0,7,6
3,val,24,7.094657897949219,7.0,16.0,9,8
3,val,25,7.675609588623047,8.0,16.0,9,2
3,val,26,5.661949157714844,6.0,5.0,7,2
3,val,27,5.881484031677246,6.0,5.0,5,4
3,val,28,4.521620750427246,5.0,4.0,5,2
3,val,29,5.0607171058654785,5.0,5.0,8,2
3,val,30,5.107058048248291,5.0,5.0,5,4
3,val,31,7.456232070922852,7.0,7.0,9,8
3,val,32,5.005792140960693,5.0,4.0,5,4
3,val,33,5.031922817230225,5.0,5.0,7,6
3,val,34,5.002385139465332,5.0,4.0,7,6
3,val,35,7.670112609863281,8.0,3.0,9,8
3,val,36,7.237123012542725,7.0,16.0,9,8
3,val,37,5.055879592895508,5.0,5.0,7,6
