seed,split,required_hops,n,chosen_step_mean,chosen_step_std,controller_step_expected_mean,controller_step_expected_std
1,ood_mixed,5,127,3.0,0.0,3.000890495270256,0.004511585307892092
1,ood_mixed,6,17,3.0,0.0,3.000183147542617,0.0007825791207269096
1,ood_mixed,7,150,3.0,0.0,3.001736783981323,0.007948408839357825
1,ood_mixed,8,40,3.0,0.0,3.0003203392028808,0.0018327953796137954
1,ood_mixed,9,178,4.089887640449438,0.2860207204799518,4.195493190476064,0.20739176226242517
1,val,5,129,3.0,0.0,3.000519342200701,0.0022899682014628775
1,val,6,17,3.0,0.0,2.999895600711598,9.624108663031459e-05
1,val,7,163,3.0,0.0,3.0010932296331676,0.004601780321990431
1,val,8,21,3.0,0.0,3.0155016694750105,0.06809307562285889
1,val,9,182,4.071428571428571,0.27805672371164825,4.180512183315152,0.20073721532868005
2,ood_mixed,5,145,3.027586206896552,0.1637840287867299,3.037850725239721,0.14173425187273422
2,ood_mixed,6,14,3.0714285714285716,0.25753937681885636,3.079190799168178,0.2311300287757243
2,ood_mixed,7,154,3.012987012987013,0.11321815437767983,3.0268855481952817,0.11094361998251628
2,ood_mixed,8,40,3.05,0.21794494717703367,3.056698590517044,0.18343323829313168
2,ood_mixed,9,159,4.930817610062893,0.29925477366969355,4.9086828921575965,0.23398313697952408
2,val,5,139,3.0215827338129495,0.14531661781815938,3.0307876000301444,0.13017192269396768
2,val,6,26,3.0384615384615383,0.19230769230769232,3.0417872759012075,0.17029683093898196
2,val,7,145,3.027586206896552,0.1637840287867299,3.0410654939454176,0.1586994921725442
2,val,8,36,3.0277777777777777,0.16433554953054488,3.042143483956655,0.15992539257657853
2,val,9,166,4.975903614457831,0.18858404629516298,4.9327245534184465,0.1785068718201963
3,ood_mixed,5,150,5.04,0.19595917942265426,5.074724388122559,0.17419586866826098
3,ood_mixed,6,17,5.0588235294117645,0.23529411764705882,5.089599581325755,0.2002507439528919
3,ood_mixed,7,148,5.0608108108108105,0.23898296194361343,5.082980381475912,0.15743439375988905
3,ood_mixed,8,24,5.125,0.33071891388307384,5.127675235271454,0.257333054838353
3,ood_mixed,9,173,5.254335260115607,0.531163237348446,5.242107598078733,0.4369473559795429
3,val,5,147,5.061224489795919,0.2397416351932802,5.079090883942689,0.18234507413167292
3,val,6,14,5.071428571428571,0.25753937681885636,5.111195053373065,0.2571222399233415
3,val,7,150,5.06,0.23748684174075835,5.093904720942179,0.19734674219274193
3,val,8,19,5.052631578947368,0.22329687826943606,5.092716568394711,0.16658990274339827
3,val,9,182,5.115384615384615,0.5575501903043066,5.170311207299704,0.46120808122908746
4,ood_mixed,5,145,4.144827586206897,0.35192691923236064,4.150344153108268,0.31076096156387334
4,ood_mixed,6,22,4.136363636363637,0.3431742925123068,4.145042137666182,0.31998663232833163
4,ood_mixed,7,132,4.166666666666667,0.37267799624996495,4.171021365758144,0.3188256820990256
4,ood_mixed,8,38,4.078947368421052,0.2696565991042,4.0992349574440405,0.27136894409741424
4,ood_mixed,9,175,6.948571428571428,0.37444925543784857,6.919583903721401,0.3472155953406545
4,val,5,122,4.090163934426229,0.2864164788468221,4.100941402013184,0.23932569114280022
4,val,6,19,4.2105263157894735,0.40768245749551757,4.188785477688438,0.3436978393474972
4,val,7,136,4.095588235294118,0.2940257209284148,4.111280455308802,0.253656195518729
4,val,8,41,4.048780487804878,0.21540880161775236,4.068459906229159,0.1651770763660852
4,val,9,194,6.876288659793815,0.39994154105713037,6.863494538769279,0.34558723796312696
5,ood_mixed,5,119,3.0,0.0,2.977359064486848,0.056534315437638774
5,ood_mixed,6,20,3.0,0.0,2.9793144702911376,0.04575831072905377
5,ood_mixed,7,160,3.0,0.0,2.979516053199768,0.04770027501372483
5,ood_mixed,8,32,3.0,0.0,2.984743893146515,0.023475986058113112
5,ood_mixed,9,181,3.9171270718232045,0.2756900541408762,3.8816552886646756,0.2378628670258973
5,val,5,127,3.0,0.0,2.981209201136912,0.02781903709165005
5,val,6,17,3.0,0.0,2.9910065987530876,0.01000389110177484
5,val,7,150,2.993333333333333,0.08137703743822469,2.973655815124512,0.06257346525427035
5,val,8,40,3.0,0.0,2.9885468542575837,0.014180794208252117
5,val,9,178,3.898876404494382,0.3014923115730054,3.88126058524914,0.22463365424449086
