seed,split,sample_idx,controller_step_expected,chosen_step,oracle_step,required_hops,oracle_depth
1,val,0,3.0005836486816406,3.0,3.0,5,4
1,val,1,2.999804735183716,3.0,3.0,7,6
1,val,2,3.0005455017089844,3.0,3.0,8,2
1,val,3,2.999951124191284,3.0,3.0,7,6
1,val,4,2.999823808670044,3.0,3.0,7,6
1,val,5,2.9997286796569824,3.0,3.0,5,4
1,val,6,4.065491199493408,4.0,5.0,9,8
1,val,7,3.016968250274658,3.0,3.0,7,6
1,val,8,4.031289577484131,4.0,5.0,9,2
1,val,9,2.9998154640197754,3.0,3.0,7,6
1,val,10,4.007504940032959,4.0,6.0,9,2
1,val,11,4.013213157653809,4.0,2.0,9,8
1,val,12,2.9999585151672363,3.0,3.0,5,4
1,val,13,2.9999990463256836,3.0,3.0,7,2
1,val,14,2.999868631362915,3.0,3.0,7,2
1,val,15,4.0170745849609375,4.0,16.0,9,8
1,val,16,2.9998817443847656,3.0,3.0,5,4
1,val,17,2.99999737739563,3.0,3.0,5,4
1,val,18,2.999814987182617,3.0,3.0,6,2
1,val,19,3.0000698566436768,3.0,3.0,7,6
1,val,20,3.0016984939575195,3.0,3.0,5,4
1,val,21,3.000018358230591,3.0,3.0,7,6
1,val,22,2.999816656112671,3.0,3.0,7,6
1,val,23,2.999946355819702,3.0,3.0,7,6
1,val,24,4.042135715484619,4.0,6.0,9,2
1,val,25,2.9998347759246826,3.0,3.0,7,6
1,val,26,2.999821662902832,3.0,3.0,8,2
1,val,27,2.9998364448547363,3.0,3.0,7,6
1,val,28,2.999851942062378,3.0,3.0,7,6
1,val,29,4.09713077545166,4.0,2.0,9,8
1,val,30,2.9999780654907227,3.0,3.0,7,6
1,val,31,2.9998154640197754,3.0,3.0,8,2
1,val,32,2.999803066253662,3.0,3.0,7,2
1,val,33,2.9997739791870117,3.0,3.0,5,4
1,val,34,4.570637226104736,5.0,2.0,9,8
1,val,35,3.9924440383911133,4.0,2.0,9,8
1,val,36,3.000042200088501,3.0,3.0,7,6
1,val,37,4.683475971221924,5.0,6.0,9,8
1,val,38,2.9997951984405518,3.0,3.0,7,6
1,val,39,2.9999196529388428,3.0,3.0,5,4
1,val,40,2.999898672103882,3.0,3.0,7,6
1,val,41,2.99969482421875,3.0,3.0,5,4
1,val,42,2.9998514652252197,3.0,3.0,5,4
1,val,43,4.4084601402282715,4.0,4.0,9,8
1,val,44,4.109140872955322,4.0,2.0,9,8
1,val,45,3.0004796981811523,3.0,3.0,7,2
